2020-01-01(Æò±Õ±â¿Â),2020-02-01(Æò±Õ±â¿Â),2020-03-01(Æò±Õ±â¿Â),2020-04-01(Æò±Õ±â¿Â),2020-05-01(Æò±Õ±â¿Â),2020-06-01(Æò±Õ±â¿Â),2020-10-01(Æò±Õ±â¿Â),2020-11-01(Æò±Õ±â¿Â),2020-12-01(Æò±Õ±â¿Â),¶óº§¸µ
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
6.2,6.8,10.5,13.6,20.1,25.9,16.9,12.8,4.8,1
