경작지주소,산도,유기물,칼륨,강수량 합계,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Oct,20-Nov,20-Dec,2020-01-01(평균기온),2020-02-01(평균기온),2020-03-01(평균기온),2020-04-01(평균기온),2020-05-01(평균기온),2020-06-01(평균기온),2020-10-01(평균기온),2020-11-01(평균기온),2020-12-01(평균기온),2020-01-01(최저기온),2020-02-01(최저기온),2020-03-01(최저기온),2020-04-01(최저기온),2020-05-01(최저기온),2020-06-01(최저기온),2020-10-01(최저기온),2020-11-01(최저기온),2020-12-01(최저기온),2020-01-01(최고기온),2020-02-01(최고기온),2020-03-01(최고기온),2020-04-01(최고기온),2020-05-01(최고기온),2020-06-01(최고기온),2020-10-01(최고기온),2020-11-01(최고기온),2020-12-01(최고기온),최저라벨,최고기온,평균기온,강수량라벨,최종라벨링
강원도 강릉시 강동면 모전리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강동면 산성우리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강동면 상시동리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강동면 심곡리,good_ph,good_orga,usually_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강동면 안인리,high_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강동면 언별리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강동면 임곡리,good_ph,3,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강동면 정동진리,good_ph,usually_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강동면 하시동리,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
강원도 강릉시 강문동,good_ph,good_orga,good_pot,672.8,107.5,77.5,47.1,65.6,95.5,270.4,0.6,7.7,0.9,4.4,5.0,8.7,11.8,18.3,24.1,15.1,11.0,3.0,-3.0,-7.1,-0.3,1.4,8.3,15.2,6.4,-0.1,-10.3,12.5,16.7,21.7,26.8,32.5,34.5,26.6,25.5,14.3,0,0,1,1,2
